Page	Section	Field	RU	EN
Навигация/общие	nav	логотип (wordmark)	скип	
Навигация/общие	nav	ссылка	Skip Design	
Навигация/общие	nav	ссылка	кейсы	
Навигация/общие	nav	ссылка	услуги	
Навигация/общие	nav	ссылка (назад, на внутренних страницах)	← назад	
Навигация/общие	footer	ссылка (политика)	Политика конфиденциальности	
Навигация/общие	footer	ссылка (язык)	/en	
Навигация/общие	footer	таймзона	(GMT+3)	
Навигация/общие	footer	email (копируется по клику)	hi@skip.design	
Навигация/общие	footer	подсказка при копировании email	скопировано	
Навигация/общие	общее	подсказка курсора	scroll	
Прелоадер	preloader	подпись (под видео)	дизайн как правила игры	
404	404	заголовок	404	
404	404	ссылка	Перейти на главную	
Home / Hero	hero	заголовок (строка 1)	Визуальные системы для	
Home / Hero	hero	заголовок (строка 2)	быстрорастущих компаний	
Home / Hero	plate	label слайда 1	Стратегия	
Home / Hero	plate	label слайда 2	Брендинг	
Home / Hero	plate	label слайда 3	Диджитал	
Home / People	people	абзац (интро о студии)	Skip Design — студия цифрового дизайна. Скипаем все, что мешает проявиться суть.	
Home / People	people	label	Нам доверяют проекты:	
Home / People	people	имя клиента	AliExpress	
Home / People	people	имя клиента	Юрий Мурадян	
Home / People	people	имя клиента	Gate Legal	
Home / People	people	имя клиента	Senior*s Bar	
Home / Кейсы (галерея)	tabs	label группы	Сделали:	
Home / Кейсы (галерея)	tabs	таб	Брендинг	
Home / Кейсы (галерея)	tabs	таб	Диджитал	
Home / Кейсы (галерея)	case 1	title	AliExpress	
Home / Кейсы (галерея)	case 1	desc	AE Platform: дизайн B2B-платформы для партнёров AliExpress	
Home / Кейсы (галерея)	case 2	title	AE Platform	
Home / Кейсы (галерея)	case 2	desc	Редизайн браузерного расширения для AE Platform	
Home / Кейсы (галерея)	case 3	title	Senior's Platform	
Home / Кейсы (галерея)	case 3	desc	Дизайн-система и интерфейсы	
Home / Кейсы (галерея)	case 4	title	Futura Digital	
Home / Кейсы (галерея)	case 4	desc	Нейминг и регистрация, платформа бренда	
Home / Кейсы (галерея)	case 5	title	Юрий Мурадян	
Home / Кейсы (галерея)	case 5	desc	Персональный брендинг	
Home / Кейсы (галерея)	case 6	title	Digital Experience	
Home / Кейсы (галерея)	case 6	desc	Исследования и автоматизация процессов	
Home / Кейсы (галерея)	карточка	label ссылки (наведение)	Перейти	
Фреймворки	tools	заголовок	Фреймворки	
Фреймворки	Конструктор миссии	label	Конструктор миссии	
Фреймворки	Конструктор миссии	описание (наведение)	На вопрос «Почему мы этим занимаемся?» можно прийти четырьмя разными путями.	
Фреймворки	Метод метафор	label	Метод метафор	
Фреймворки	Метод метафор	описание (наведение)	Критерии для работы с сильными метафорами	
Фреймворки	Конструктор баннеров	label	Конструктор баннеров	
Фреймворки	Конструктор баннеров	описание (наведение)	Плагин, делающий баннеры по бренд-киту компании	
Фреймворки	ИИ-ускоритель	label	ИИ-ускоритель	
Фреймворки	ИИ-ускоритель	описание (наведение)	Автоматизируем рутину — плагины, шаблоны и ИИ-инструменты под ваши процессы	
Медиа	media	заголовок	Медиа	
Медиа	Конструктор	name	Конструктор	
Медиа	Конструктор	desc	Разбираем архитектуру бренда до основания.	
Медиа	Конструктор	year	2026	
Медиа	Метод	name	Метод	
Медиа	Метод	desc	Строим визуальные системы с нуля.	
Медиа	Метод	year	2026	
Медиа	Решение	name	Решение	
Медиа	Решение	desc	Ведём проект от первого брифа до релиза.	
Медиа	Решение	year	2026	
Медиа	media	ссылка (в строке)	Читать	
Контакт-форма	tabs	таб 1	Обсудить проект	
Контакт-форма	tabs	таб 2 (default)	Стать частью команды	
Контакт-форма	tabs	таб 2 (consult)	Проконсультироваться	
Контакт-форма	заголовок	таб «Обсудить проект» (часть 1)	Оставьте	
Контакт-форма	заголовок	таб «Обсудить проект» (динамичное слово — почта)	почту	
Контакт-форма	заголовок	таб «Обсудить проект» (динамичное слово — телеграм)	телеграм	
Контакт-форма	заголовок	таб «Обсудить проект» (динамичное слово — контакт)	контакт	
Контакт-форма	заголовок	таб «Обсудить проект» (часть 2)	мы назначим встречу	
Контакт-форма	заголовок	таб «Стать частью команды»	Отправьте CV арт-диру	
Контакт-форма	заголовок	таб «Проконсультироваться» (часть 1)	Оставьте	
Контакт-форма	заголовок	таб «Проконсультироваться» (динамичное слово — телефон)	телефон	
Контакт-форма	заголовок	таб «Проконсультироваться» (динамичное слово — телеграм)	телеграм	
Контакт-форма	заголовок	таб «Проконсультироваться» (динамичное слово — контакт)	контакт	
Контакт-форма	заголовок	таб «Проконсультироваться» (часть 2)	мы свяжемся с вами	
Контакт-форма	input	placeholder телеграм	@ТЕЛЕГРАМ	
Контакт-форма	checkbox	текст (часть 1)	Даю согласие на обработку персональных данных в соответствии с	
Контакт-форма	checkbox	ссылка	Политикой конфиденциальности	
Контакт-форма	игра пройдена	текст	Круто что вы доиграли. Давайте обсудим проект?	
Контакт-форма	игра пройдена	ссылка	Написать в Telegram	
Контакт-форма	игра пройдена	кнопка	играть снова	
Услуги	page	заголовок	Услуги	
Услуги	Бренд-стратегия	заголовок услуги	Бренд-стратегия	
Услуги	Бренд-стратегия	CTA	обсудить со стратегом	
Услуги	Бренд-стратегия / платформа бренда	пункт (label)	платформа бренда	
Услуги	Бренд-стратегия / платформа бренда	заголовок	Платформа бренда	
Услуги	Бренд-стратегия / платформа бренда	абзац 1	Бренд без платформы — набор случайных решений: продажи говорят одно, маркетинг делает другое, в продукте — третье. В итоге бренд выглядит и звучит как пять разных человек вместо одного.	
Услуги	Бренд-стратегия / платформа бренда	абзац 2	Мы собираем воедино все смыслы и формулируем суть: кто вы, почему это важно и чем отличаетесь от других. Платформа бренда помогает последовательно и здраво принимать решения: от нейминга до изменений в продукте.	
Услуги	Бренд-стратегия / платформа бренда	пример	конструктор миссии	
Услуги	Бренд-стратегия / платформа бренда	пример	критерии метафор	
Услуги	Бренд-стратегия / исследование	пункт (label)	исследование	
